"frac.agglom" "frac.random" "frac.ordered" "R.ClarkEvans" "pvalue.ClarkEvans" "Benford.1" "Benford.all"
"1" 0.738420262932777 0.0336122075095773 0.227967529557645 0.857256166996694 0 "Acceptable conformity" "Close conformity"
"2" 0.149854477494955 0.107864524936303 0.742280997568741 1.0193526997512 0.245735048354935 "Nonconformity" "Nonconformity"
"3" 0.778238411759958 0.118975516874343 0.102786071365699 0.924611336178484 6.98608784066579e-06 "Acceptable conformity" "Close conformity"
"4" 0.969135076971725 0.00875994493253529 0.0221049780957401 0.688103157879189 0 "Nonconformity" "Nonconformity"
"5" 0.148032624740154 0.527582764625549 0.324384610634297 1.2148306907149 0 "Nonconformity" "Nonconformity"
"6" 0.68497622362338 0.134174498496577 0.180849277880043 0.943988547932612 0.000911331383329328 "Acceptable conformity" "Close conformity"
"7" 0.276856023352593 0.203675286378711 0.519468690268695 0.998889705719478 0.947147213660861 "Nonconformity" "Nonconformity"
"8" 0.590624824399129 0.349522186210379 0.0598529893904924 1.20640049121251 0 "Marginally acceptable conformity" "Nonconformity"
"9" 0.243227632250637 0.607474880758673 0.14929748699069 1.35224285507235 0 "Nonconformity" "Nonconformity"
"10" 0.749355344101787 0.0640770986210555 0.186567557277158 0.827323076124946 0 "Acceptable conformity" "Close conformity"
"11" 0.367222212953493 0.014623173745349 0.618154613301158 0.998992702740293 0.951872109419371 "Nonconformity" "Nonconformity"
"12" 0.482876662630588 0.23442057822831 0.282702759141102 1.01796569943791 0.283682350345007 "Nonconformity" "Nonconformity"
"13" 0.35882447194308 0.454431719146669 0.186743808910251 1.2520566110452 0 "Nonconformity" "Nonconformity"
"14" 0.412342327414081 0.436558335321024 0.151099337264895 1.2236830855739 0 "Nonconformity" "Nonconformity"
"15" 0.305459770606831 0.393732012249529 0.30080821714364 1.09180003528918 4.51008410617959e-08 "Nonconformity" "Nonconformity"
"16" 0.557262076064944 0.431518414756283 0.0112195091787726 1.35581836928263 0 "Nonconformity" "Nonconformity"
"17" 0.126623234478757 0.529433944262564 0.343942821258679 1.23989514821852 0 "Nonconformity" "Nonconformity"
"18" 0.0421196741517633 0.659642940154299 0.298237385693938 1.37316302709919 0 "Nonconformity" "Nonconformity"
"19" 0.0548951502423733 0.0923218638636172 0.852782985894009 0.990575937906069 0.569564481108753 "Nonconformity" "Nonconformity"
"20" 0.558645874261856 0.367976270150393 0.0733778555877507 1.1741777446953 0 "Nonconformity" "Nonconformity"
"21" 0.263435019413009 0.311280270572752 0.425284710014239 1.04530595014841 0.00660641307064802 "Nonconformity" "Nonconformity"
"22" 0.0566543599124998 0.209642725065351 0.73370291502215 1.02604813232377 0.115615122236242 "Nonconformity" "Nonconformity"
"23" 0.432847233489156 0.495962975313887 0.0711897911969572 1.32160631765673 0 "Nonconformity" "Nonconformity"
"24" 0.350761603564024 0.243268683319911 0.405969713116065 1.02357470836439 0.159917545059082 "Nonconformity" "Nonconformity"
"25" 0.366812920896336 0.230734177865088 0.402452901238576 0.989104411870574 0.513638529410976 "Nonconformity" "Nonconformity"
"26" 0.222318708430976 0.230125166475773 0.547556125093251 1.04952920728852 0.00261434405513938 "Nonconformity" "Nonconformity"
"27" 0.111443565925583 0.316321504069492 0.572234930004925 1.01932245990068 0.241489751528859 "Nonconformity" "Nonconformity"
"28" 0.290660383878276 0.347395257558674 0.361944358563051 1.1029834193538 5.25183008193153e-10 "Nonconformity" "Nonconformity"
"29" 0.545437248656526 0.287618344184011 0.166944407159463 1.05760982727031 0.000605897825844748 "Nonconformity" "Nonconformity"
"30" 0.201325472211465 0.685132647398859 0.113541880389675 1.49228610038755 0 "Nonconformity" "Nonconformity"
"31" 0.54492030502297 0.315737825585529 0.139341869391501 1.07058400694731 3.64412874387376e-05 "Marginally acceptable conformity" "Marginally acceptable conformity"
"32" 0.403424044139683 0.013047571061179 0.583528384799138 0.964273875329337 0.03310377148417 "Nonconformity" "Nonconformity"
"33" 0.484492280287668 0.382855296367779 0.132652423344553 1.21902248589396 0 "Nonconformity" "Nonconformity"
"34" 0.173910116078332 0.795715213986114 0.0303746699355543 1.68471280419363 0 "Nonconformity" "Nonconformity"
"35" 0.614822886651382 0.370388084091246 0.014789029257372 1.25694278051977 0 "Marginally acceptable conformity" "Nonconformity"
"36" 0.364697796292603 0.305784835014492 0.329517368692905 1.0520569358402 0.00202033469892515 "Nonconformity" "Nonconformity"
"37" 0.41492262436077 0.3993375741411 0.18573980149813 1.16126807398352 0 "Nonconformity" "Nonconformity"
"38" 0.284862815868109 0.691973541164771 0.0231636429671198 1.54216634370604 0 "Nonconformity" "Nonconformity"
"39" 0.584645639173687 0.111382780363783 0.30397158046253 0.90851840230596 4.63757849900048e-08 "Marginally acceptable conformity" "Acceptable conformity"
"40" 0.58126122970134 0.311013111844659 0.107725658454001 1.11924537523317 1.94133598085955e-12 "Marginally acceptable conformity" "Marginally acceptable conformity"
"41" 0.00876255542971194 0.163986407686025 0.827251036884263 1.02466243482077 0.137476307266657 "Nonconformity" "Nonconformity"
"42" 0.0607200420927256 0.772210914408788 0.167069043498486 1.56787022237278 0 "Nonconformity" "Nonconformity"
"43" 0.357278276234865 0.304091429337859 0.338630294427276 1.06884723936551 3.50595989686564e-05 "Nonconformity" "Nonconformity"
"44" 0.316657663788646 0.0791456387378275 0.604196697473526 0.992721713744429 0.662921283128938 "Nonconformity" "Nonconformity"
"45" 0.284550512675196 0.131584503920749 0.583864983404055 0.99822513409816 0.915263460351111 "Nonconformity" "Nonconformity"
